Date;Package Name;Acquisition Channel;Store Listing Visitors;Installers;Visitor-to-Installer conversion rate;Installers retained for 1 day;Installer-to-1 day retention rate;Installers retained for 7 days;Installer-to-7 days retention rate;Installers retained for 15 days;Installer-to-15 days retention rate;Installers retained for 30 days;Installer-to-30 days retention rate
01/08/2019;B4 Bank;Organic;1628;414;0.254;359;0.867;344;0.831;335;0.809;330;0.797
02/08/2019;B4 Bank;Organic;1610;407;0.253;354;0.870;338;0.830;330;0.811;322;0.791
03/08/2019;B4 Bank;Organic;1725;401;0.232;360;0.898;348;0.868;348;0.868;340;0.848
04/08/2019;B4 Bank;Organic;1579;410;0.260;365;0.890;350;0.854;341;0.832;330;0.805
05/08/2019;B4 Bank;Organic;1488;374;0.251;334;0.893;323;0.864;317;0.848;303;0.810
06/08/2019;B4 Bank;Organic;1020;244;0.239;217;0.889;200;0.820;193;0.791;188;0.770
07/08/2019;B4 Bank;Organic;757;171;0.226;142;0.830;138;0.807;132;0.772;127;0.743
08/08/2019;B4 Bank;Organic;1310;362;0.276;314;0.867;303;0.837;296;0.818;289;0.798
09/08/2019;B4 Bank;Organic;1017;237;0.233;211;0.890;201;0.848;199;0.840;194;0.819
10/08/2019;B4 Bank;Organic;1345;340;0.253;309;0.909;293;0.862;289;0.850;280;0.824
11/08/2019;B4 Bank;Organic;1428;403;0.282;363;0.901;339;0.841;335;0.831;327;0.811
12/08/2019;B4 Bank;Organic;1204;344;0.286;306;0.890;300;0.872;294;0.855;289;0.840
13/08/2019;B4 Bank;Organic;825;185;0.224;162;0.876;150;0.811;146;0.789;141;0.762
14/08/2019;B4 Bank;Organic;785;155;0.197;131;0.845;124;0.800;117;0.755;113;0.729
15/08/2019;B4 Bank;Organic;1323;327;0.247;298;0.911;279;0.853;272;0.832;266;0.813
16/08/2019;B4 Bank;Organic;1265;316;0.250;281;0.889;271;0.858;266;0.842;261;0.826
17/08/2019;B4 Bank;Organic;1180;314;0.266;269;0.857;254;0.809;250;0.796;245;0.780
18/08/2019;B4 Bank;Organic;1236;312;0.252;281;0.901;272;0.872;266;0.853;257;0.824
19/08/2019;B4 Bank;Organic;1216;305;0.251;269;0.882;259;0.849;251;0.823;241;0.790
20/08/2019;B4 Bank;Organic;914;158;0.173;137;0.867;133;0.842;128;0.810;122;0.772
21/08/2019;B4 Bank;Organic;849;133;0.157;115;0.865;110;0.827;107;0.805;104;0.782
22/08/2019;B4 Bank;Organic;1495;311;0.208;278;0.894;269;0.865;266;0.855;260;0.836
23/08/2019;B4 Bank;Organic;1548;317;0.205;279;0.880;269;0.849;260;0.820;256;0.808
24/08/2019;B4 Bank;Organic;1417;282;0.199;248;0.879;235;0.833;232;0.823;226;0.801
25/08/2019;B4 Bank;Organic;2153;336;0.156;296;0.881;289;0.860;277;0.824;268;0.798
26/08/2019;B4 Bank;Organic;2098;345;0.164;299;0.867;290;0.841;283;0.820;279;0.809
27/08/2019;B4 Bank;Organic;1829;193;0.106;168;0.870;153;0.793;145;0.751;139;0.720
28/08/2019;B4 Bank;Organic;1934;189;0.098;159;0.841;151;0.799;146;0.772;142;0.751
29/08/2019;B4 Bank;Organic;2349;362;0.154;318;0.878;304;0.840;296;0.818;291;0.804
30/08/2019;B4 Bank;Organic;2360;371;0.157;311;0.838;296;0.798;290;0.782;279;0.752
31/08/2019;B4 Bank;Organic;2293;369;0.161;322;0.873;302;0.818;292;0.791;281;0.762
01/09/2019;B4 Bank;Organic;2198;453;0.206;411;0.907;397;0.876;388;0.857;371;0.819
02/09/2019;B4 Bank;Organic;1982;387;0.195;341;0.881;317;0.819;308;0.796;298;0.770
03/09/2019;B4 Bank;Organic;1515;266;0.176;221;0.831;206;0.774;197;0.741;193;0.726
04/09/2019;B4 Bank;Organic;1372;226;0.165;202;0.894;189;0.836;183;0.810;181;0.801
05/09/2019;B4 Bank;Organic;2533;508;0.201;439;0.864;423;0.833;412;0.811;400;0.787
06/09/2019;B4 Bank;Organic;2435;463;0.190;404;0.873;390;0.842;377;0.814;363;0.784
07/09/2019;B4 Bank;Organic;2373;498;0.210;431;0.865;412;0.827;400;0.803;392;0.787
08/09/2019;B4 Bank;Organic;2250;492;0.219;432;0.878;417;0.848;401;0.815;388;0.789
09/09/2019;B4 Bank;Organic;1525;390;0.256;358;0.918;348;0.892;339;0.869;328;0.841
10/09/2019;B4 Bank;Organic;1071;219;0.204;193;0.881;182;0.831;180;0.822;174;0.795
11/09/2019;B4 Bank;Organic;1014;219;0.216;202;0.922;196;0.895;188;0.858;183;0.836
12/09/2019;B4 Bank;Organic;1695;447;0.264;396;0.886;383;0.857;375;0.839;363;0.812
13/09/2019;B4 Bank;Organic;1441;417;0.289;375;0.899;359;0.861;349;0.837;337;0.808
14/09/2019;B4 Bank;Organic;1591;433;0.272;387;0.894;373;0.861;365;0.843;356;0.822
15/09/2019;B4 Bank;Organic;1549;394;0.254;354;0.898;336;0.853;329;0.835;316;0.802
16/09/2019;B4 Bank;Organic;1409;411;0.292;376;0.915;361;0.878;353;0.859;342;0.832
17/09/2019;B4 Bank;Organic;999;213;0.213;188;0.883;184;0.864;181;0.850;178;0.836
18/09/2019;B4 Bank;Organic;1055;196;0.186;160;0.816;146;0.745;141;0.719;137;0.699
19/09/2019;B4 Bank;Organic;1596;438;0.274;388;0.886;371;0.847;366;0.836;358;0.817
20/09/2019;B4 Bank;Organic;1533;440;0.287;394;0.895;377;0.857;366;0.832;359;0.816
21/09/2019;B4 Bank;Organic;1410;402;0.285;354;0.881;341;0.848;323;0.803;315;0.784
22/09/2019;B4 Bank;Organic;1489;379;0.255;340;0.897;327;0.863;323;0.852;316;0.834
23/09/2019;B4 Bank;Organic;1436;386;0.269;348;0.902;335;0.868;329;0.852;320;0.829
24/09/2019;B4 Bank;Organic;1068;209;0.196;178;0.852;166;0.794;160;0.766;157;0.751
25/09/2019;B4 Bank;Organic;924;174;0.188;145;0.833;137;0.787;135;0.776;134;0.770
26/09/2019;B4 Bank;Organic;4050;583;0.144;533;0.914;510;0.875;504;0.864;486;0.834
27/09/2019;B4 Bank;Organic;8292;875;0.106;809;0.925;784;0.896;768;0.878;751;0.858
28/09/2019;B4 Bank;Organic;5290;709;0.134;641;0.904;617;0.870;608;0.858;600;0.846
29/09/2019;B4 Bank;Organic;3966;561;0.141;511;0.911;495;0.882;484;0.863;473;0.843
30/09/2019;B4 Bank;Organic;3950;590;0.149;529;0.897;508;0.861;502;0.851;496;0.841
31/09/2019;B4 Bank;Organic;1874;275;0.147;249;0.905;242;0.880;234;0.851;229;0.833
01/10/2019;B4 Bank;Organic;1584;236;0.149;219;0.928;212;0.898;207;0.877;202;0.856
02/10/2019;B4 Bank;Organic;2741;483;0.176;439;0.909;423;0.876;412;0.853;400;0.828
03/10/2019;B4 Bank;Organic;2361;480;0.203;417;0.869;400;0.833;385;0.802;377;0.785
04/10/2019;B4 Bank;Organic;2062;450;0.218;404;0.898;389;0.864;381;0.847;371;0.824
05/10/2019;B4 Bank;Organic;2061;405;0.197;370;0.914;359;0.886;348;0.859;342;0.844
06/10/2019;B4 Bank;Organic;1867;391;0.209;344;0.880;326;0.834;319;0.816;313;0.801
07/10/2019;B4 Bank;Organic;1123;195;0.174;167;0.856;161;0.826;157;0.805;153;0.785
08/10/2019;B4 Bank;Organic;1196;191;0.160;171;0.895;163;0.853;156;0.817;151;0.791
09/10/2019;B4 Bank;Organic;2148;441;0.205;394;0.893;378;0.857;367;0.832;355;0.805
10/10/2019;B4 Bank;Organic;1973;441;0.224;391;0.887;375;0.850;365;0.828;357;0.810
11/10/2019;B4 Bank;Organic;1564;394;0.252;343;0.871;327;0.830;320;0.812;313;0.794
12/10/2019;B4 Bank;Organic;1547;388;0.251;345;0.889;329;0.848;319;0.822;307;0.791
13/10/2019;B4 Bank;Organic;2628;512;0.195;464;0.906;443;0.865;425;0.830;412;0.805
14/10/2019;B4 Bank;Organic;4152;382;0.092;340;0.890;323;0.846;314;0.822;303;0.793
15/10/2019;B4 Bank;Organic;3148;319;0.101;283;0.887;268;0.840;263;0.824;256;0.803
16/10/2019;B4 Bank;Organic;6149;618;0.101;571;0.924;545;0.882;537;0.869;527;0.853
17/10/2019;B4 Bank;Organic;4388;511;0.116;454;0.888;439;0.859;428;0.838;416;0.814
18/10/2019;B4 Bank;Organic;3677;505;0.137;459;0.909;443;0.877;434;0.859;417;0.826
19/10/2019;B4 Bank;Organic;3352;472;0.141;417;0.883;400;0.847;393;0.833;379;0.803
20/10/2019;B4 Bank;Organic;3339;474;0.142;438;0.924;417;0.880;407;0.859;402;0.848
21/10/2019;B4 Bank;Organic;1811;245;0.135;220;0.898;197;0.804;188;0.767;180;0.735
22/10/2019;B4 Bank;Organic;1609;209;0.130;181;0.866;176;0.842;168;0.804;163;0.780
23/10/2019;B4 Bank;Organic;2477;423;0.171;382;0.903;361;0.853;350;0.827;331;0.783
24/10/2019;B4 Bank;Organic;2570;474;0.184;430;0.907;414;0.873;402;0.848;393;0.829
25/10/2019;B4 Bank;Organic;2348;431;0.184;378;0.877;352;0.817;339;0.787;331;0.768
26/10/2019;B4 Bank;Organic;2125;385;0.181;338;0.878;314;0.816;305;0.792;296;0.769
27/10/2019;B4 Bank;Organic;2069;413;0.200;376;0.910;366;0.886;357;0.864;348;0.843
28/10/2019;B4 Bank;Organic;1532;270;0.176;240;0.889;220;0.815;208;0.770;195;0.722
29/10/2019;B4 Bank;Organic;1326;258;0.195;207;0.802;193;0.748;184;0.713;175;0.678
30/10/2019;B4 Bank;Organic;2457;545;0.222;437;0.802;402;0.738;386;0.708;374;0.686
