school_mat;sex_mat;age_mat;address_mat;famsize_mat;Pstatus_mat;Medu_mat;Fedu_mat;Mjob_mat;Fjob_mat;reason_mat;guardian_mat;traveltime_mat;studytime_mat;failures_mat;schoolsup_mat;famsup_mat;paid_mat;activities_mat;nursery_mat;higher_mat;internet_mat;romantic_mat;famrel_mat;freetime_mat;goout_mat;Dalc_mat;Walc_mat;health_mat;absences_mat;G1_mat;G2_mat;G3_mat;Chave;school_port;sex_port;age_port;address_port;famsize_port;Pstatus_port;Medu_port;Fedu_port;Mjob_port;Fjob_port;reason_port;guardian_port;traveltime_port;studytime_port;failures_port;schoolsup_port;famsup_port;paid_port;activities_port;nursery_port;higher_port;internet_port;romantic_port;famrel_port;freetime_port;goout_port;Dalc_port;Walc_port;health_port;absences_port;G1_port;G2_port;G3_port;_merge
GP;M;15;U;GT3;T;4;3;teacher;other;reputation;mother;1.0;2.0;0.0;no;no;no;no;yes;yes;yes;no;4.0;4.0;1.0;1.0;1.0;1.0;0.0;13.0;14.0;15.0;GPM15UGT3T43teacherotherreputationyesyes;GP;M;15;U;GT3;T;4;3;teacher;other;reputation;mother;1.0;2.0;0.0;no;no;no;no;yes;yes;yes;no;4.0;4.0;1.0;1.0;1.0;1.0;0.0;12.0;13.0;14.0;both
GP;M;16;U;LE3;T;4;2;teacher;other;course;mother;1.0;2.0;0.0;no;no;no;yes;yes;yes;yes;no;4.0;5.0;1.0;1.0;3.0;5.0;2.0;15.0;15.0;16.0;GPM16ULE3T42teacherothercourseyesyes;GP;M;16;U;LE3;T;4;2;teacher;other;course;mother;1.0;2.0;0.0;no;no;no;yes;yes;yes;yes;no;4.0;5.0;1.0;1.0;3.0;5.0;0.0;12.0;13.0;14.0;both
GP;M;15;R;GT3;T;4;3;teacher;at_home;course;mother;1.0;2.0;0.0;no;yes;no;yes;yes;yes;yes;yes;4.0;5.0;2.0;1.0;1.0;5.0;0.0;17.0;16.0;16.0;GPM15RGT3T43teacherat_homecourseyesyes;GP;M;15;R;GT3;T;4;3;teacher;at_home;course;mother;1.0;2.0;0.0;no;yes;no;yes;yes;yes;yes;yes;4.0;5.0;2.0;1.0;1.0;5.0;0.0;13.0;14.0;15.0;both
GP;M;15;U;LE3;T;4;3;teacher;services;home;mother;1.0;3.0;0.0;no;yes;no;yes;yes;yes;yes;no;5.0;4.0;3.0;1.0;1.0;4.0;2.0;15.0;16.0;18.0;GPM15ULE3T43teacherserviceshomeyesyes;GP;M;15;U;LE3;T;4;3;teacher;services;home;mother;1.0;3.0;0.0;no;yes;no;yes;yes;yes;yes;no;5.0;4.0;3.0;1.0;1.0;4.0;0.0;14.0;14.0;14.0;both
GP;M;15;U;GT3;T;4;2;teacher;other;home;mother;1.0;2.0;0.0;no;yes;yes;no;yes;yes;no;no;4.0;3.0;3.0;2.0;2.0;5.0;2.0;15.0;15.0;14.0;GPM15UGT3T42teacherotherhomeyesno;GP;M;15;U;GT3;T;4;2;teacher;other;home;mother;1.0;2.0;0.0;no;yes;no;no;yes;yes;no;no;4.0;3.0;3.0;2.0;2.0;5.0;4.0;11.0;12.0;13.0;both
GP;M;15;U;GT3;T;4;4;teacher;health;reputation;mother;1.0;2.0;0.0;no;yes;no;yes;yes;yes;no;no;3.0;2.0;2.0;1.0;1.0;5.0;4.0;14.0;15.0;15.0;GPM15UGT3T44teacherhealthreputationyesno;GP;M;15;U;GT3;T;4;4;teacher;health;reputation;mother;1.0;2.0;0.0;no;yes;no;yes;yes;yes;no;no;3.0;2.0;2.0;1.0;1.0;5.0;8.0;15.0;15.0;16.0;both
GP;F;16;U;LE3;T;4;3;teacher;services;course;mother;3.0;2.0;0.0;no;yes;no;yes;yes;yes;yes;no;5.0;4.0;3.0;1.0;2.0;1.0;2.0;16.0;15.0;15.0;GPF16ULE3T43teacherservicescourseyesyes;GP;F;16;U;LE3;T;4;3;teacher;services;course;mother;3.0;2.0;0.0;no;yes;no;yes;yes;yes;yes;no;5.0;4.0;3.0;1.0;2.0;1.0;2.0;16.0;15.0;16.0;both
GP;M;15;U;GT3;T;4;0;teacher;other;course;mother;2.0;4.0;0.0;no;no;no;yes;yes;yes;yes;no;3.0;4.0;3.0;1.0;1.0;1.0;8.0;11.0;11.0;10.0;GPM15UGT3T40teacherothercourseyesyes;GP;M;15;U;GT3;T;4;0;teacher;other;course;mother;2.0;4.0;0.0;no;no;no;yes;yes;yes;yes;no;3.0;4.0;3.0;1.0;1.0;1.0;0.0;12.0;11.0;11.0;both
GP;F;16;U;GT3;T;4;2;teacher;services;home;mother;2.0;2.0;0.0;no;yes;yes;yes;yes;yes;yes;no;5.0;3.0;3.0;1.0;1.0;1.0;0.0;11.0;10.0;10.0;GPF16UGT3T42teacherserviceshomeyesyes;GP;F;16;U;GT3;T;4;2;teacher;services;home;mother;2.0;2.0;0.0;no;yes;no;yes;yes;yes;yes;no;5.0;3.0;3.0;1.0;1.0;1.0;2.0;13.0;14.0;14.0;both
GP;M;15;U;LE3;A;4;4;teacher;teacher;course;mother;1.0;1.0;0.0;no;no;no;yes;yes;yes;yes;no;5.0;5.0;3.0;1.0;1.0;4.0;6.0;18.0;19.0;19.0;GPM15ULE3A44teacherteachercourseyesyes;GP;M;15;U;LE3;A;4;4;teacher;teacher;course;mother;1.0;1.0;0.0;no;no;no;yes;yes;yes;yes;no;5.0;5.0;3.0;1.0;1.0;4.0;4.0;13.0;14.0;14.0;both
GP;M;15;U;LE3;T;4;2;teacher;other;course;mother;1.0;1.0;0.0;no;no;no;no;yes;yes;yes;no;3.0;5.0;2.0;1.0;1.0;3.0;10.0;18.0;19.0;19.0;GPM15ULE3T42teacherothercourseyesyes;GP;M;15;U;LE3;T;4;2;teacher;other;course;mother;1.0;1.0;0.0;no;no;no;no;yes;yes;yes;no;3.0;5.0;2.0;1.0;1.0;3.0;10.0;18.0;17.0;18.0;both
GP;M;16;U;GT3;T;4;4;teacher;teacher;course;father;1.0;2.0;0.0;no;yes;no;yes;yes;yes;yes;no;5.0;4.0;4.0;1.0;2.0;5.0;2.0;15.0;15.0;16.0;GPM16UGT3T44teacherteachercourseyesyes;GP;M;16;U;GT3;T;4;4;teacher;teacher;course;father;1.0;2.0;0.0;no;yes;no;yes;yes;yes;yes;no;5.0;4.0;4.0;1.0;2.0;5.0;6.0;16.0;14.0;14.0;both
GP;M;16;R;GT3;T;4;4;teacher;teacher;course;mother;1.0;1.0;0.0;no;no;yes;yes;yes;yes;yes;no;3.0;5.0;5.0;2.0;5.0;4.0;8.0;18.0;18.0;18.0;GPM16RGT3T44teacherteachercourseyesyes;GP;M;16;R;GT3;T;4;4;teacher;teacher;course;mother;1.0;1.0;0.0;no;no;no;yes;yes;yes;yes;no;3.0;5.0;5.0;2.0;5.0;4.0;8.0;14.0;14.0;15.0;both
GP;F;15;U;GT3;T;4;4;teacher;teacher;course;mother;2.0;1.0;0.0;no;no;no;yes;yes;yes;yes;no;4.0;3.0;2.0;1.0;1.0;5.0;0.0;16.0;16.0;15.0;GPF15UGT3T44teacherteachercourseyesyes;GP;F;15;U;GT3;T;4;4;teacher;teacher;course;mother;2.0;1.0;0.0;no;no;no;yes;yes;yes;yes;no;4.0;3.0;2.0;1.0;1.0;5.0;6.0;13.0;14.0;14.0;both
GP;M;17;U;LE3;T;4;4;teacher;other;reputation;mother;1.0;2.0;0.0;no;yes;yes;yes;yes;yes;yes;no;4.0;4.0;4.0;1.0;3.0;5.0;0.0;13.0;11.0;10.0;GPM17ULE3T44teacherotherreputationyesyes;GP;M;17;U;LE3;T;4;4;teacher;other;reputation;mother;1.0;2.0;0.0;no;yes;no;yes;yes;yes;yes;no;4.0;4.0;4.0;1.0;3.0;5.0;0.0;11.0;9.0;10.0;both
GP;F;16;U;GT3;T;4;3;teacher;other;other;mother;1.0;2.0;0.0;no;no;yes;yes;yes;yes;yes;yes;1.0;3.0;2.0;1.0;1.0;1.0;10.0;11.0;12.0;13.0;GPF16UGT3T43teacherotherotheryesyes;GP;F;16;U;GT3;T;4;3;teacher;other;other;mother;1.0;2.0;0.0;no;no;no;yes;yes;yes;yes;yes;1.0;3.0;2.0;1.0;1.0;1.0;4.0;14.0;15.0;15.0;both
GP;F;16;U;GT3;T;4;4;teacher;services;home;mother;1.0;3.0;0.0;no;yes;no;yes;no;yes;yes;no;5.0;3.0;2.0;1.0;1.0;5.0;0.0;13.0;13.0;14.0;GPF16UGT3T44teacherserviceshomenoyes;GP;F;16;U;GT3;T;4;4;teacher;services;home;mother;1.0;3.0;0.0;no;yes;no;yes;no;yes;yes;no;5.0;3.0;2.0;1.0;1.0;5.0;4.0;15.0;16.0;16.0;both
GP;M;17;U;GT3;T;4;4;teacher;teacher;reputation;mother;1.0;2.0;0.0;yes;yes;no;yes;yes;yes;yes;yes;4.0;5.0;5.0;1.0;3.0;2.0;14.0;11.0;9.0;9.0;GPM17UGT3T44teacherteacherreputationyesyes;GP;M;17;U;GT3;T;4;4;teacher;teacher;reputation;mother;1.0;2.0;0.0;yes;yes;no;yes;yes;yes;yes;yes;4.0;5.0;5.0;1.0;3.0;2.0;0.0;13.0;13.0;13.0;both
GP;F;17;U;LE3;T;4;2;teacher;services;reputation;mother;1.0;4.0;0.0;no;yes;yes;yes;yes;yes;yes;no;4.0;2.0;3.0;1.0;1.0;4.0;6.0;14.0;12.0;13.0;GPF17ULE3T42teacherservicesreputationyesyes;GP;F;17;U;LE3;T;4;2;teacher;services;reputation;mother;1.0;4.0;0.0;no;yes;no;yes;yes;yes;yes;no;4.0;2.0;3.0;1.0;1.0;4.0;2.0;14.0;15.0;17.0;both
GP;M;17;U;LE3;A;3;2;teacher;services;home;mother;1.0;1.0;1.0;no;no;no;no;yes;yes;yes;no;4.0;4.0;4.0;3.0;4.0;3.0;19.0;11.0;9.0;10.0;GPM17ULE3A32teacherserviceshomeyesyes;GP;M;17;U;LE3;A;3;2;teacher;services;home;mother;1.0;1.0;0.0;no;no;no;no;yes;yes;yes;no;4.0;4.0;4.0;3.0;4.0;3.0;18.0;13.0;13.0;13.0;both
GP;M;18;U;LE3;A;4;4;teacher;teacher;reputation;mother;1.0;2.0;0.0;no;yes;yes;yes;yes;yes;yes;no;5.0;4.0;3.0;1.0;1.0;2.0;9.0;15.0;13.0;15.0;GPM18ULE3A44teacherteacherreputationyesyes;GP;M;18;U;LE3;A;4;4;teacher;teacher;reputation;mother;1.0;2.0;0.0;no;yes;no;yes;yes;yes;yes;no;5.0;4.0;3.0;1.0;1.0;2.0;0.0;17.0;17.0;17.0;both
GP;M;18;U;GT3;T;4;2;teacher;other;home;mother;1.0;2.0;0.0;no;yes;yes;yes;yes;yes;yes;yes;4.0;3.0;2.0;1.0;4.0;5.0;11.0;12.0;11.0;11.0;GPM18UGT3T42teacherotherhomeyesyes;GP;M;18;U;GT3;T;4;2;teacher;other;home;mother;1.0;2.0;0.0;no;yes;no;yes;yes;yes;yes;yes;4.0;3.0;2.0;1.0;4.0;5.0;2.0;15.0;16.0;16.0;both
GP;M;18;U;LE3;T;4;4;teacher;teacher;home;mother;1.0;1.0;0.0;no;yes;yes;no;yes;yes;yes;yes;1.0;4.0;2.0;2.0;2.0;1.0;5.0;16.0;15.0;16.0;GPM18ULE3T44teacherteacherhomeyesyes;GP;M;18;U;LE3;T;4;4;teacher;teacher;home;mother;1.0;1.0;0.0;no;yes;no;no;yes;yes;yes;yes;1.0;4.0;2.0;2.0;2.0;1.0;0.0;18.0;18.0;17.0;both
GP;F;18;U;GT3;T;4;4;teacher;other;course;mother;1.0;2.0;0.0;no;yes;yes;no;yes;yes;yes;no;4.0;4.0;4.0;3.0;3.0;5.0;2.0;11.0;11.0;11.0;GPF18UGT3T44teacherothercourseyesyes;GP;F;18;U;GT3;T;4;4;teacher;other;course;mother;1.0;2.0;0.0;no;yes;no;no;yes;yes;yes;no;4.0;4.0;4.0;3.0;3.0;5.0;0.0;12.0;11.0;13.0;both
GP;F;17;U;GT3;T;4;4;teacher;teacher;course;mother;2.0;3.0;0.0;no;yes;yes;no;no;yes;yes;yes;4.0;3.0;3.0;1.0;2.0;4.0;4.0;14.0;14.0;14.0;GPF17UGT3T44teacherteachercoursenoyes;GP;F;17;U;GT3;T;4;4;teacher;teacher;course;mother;2.0;3.0;0.0;no;yes;no;no;no;yes;yes;yes;4.0;3.0;3.0;1.0;2.0;4.0;4.0;15.0;14.0;15.0;both
GP;M;18;R;GT3;T;4;3;teacher;services;course;mother;1.0;3.0;0.0;no;no;no;no;yes;yes;yes;yes;5.0;3.0;2.0;1.0;2.0;4.0;9.0;16.0;15.0;16.0;GPM18RGT3T43teacherservicescourseyesyes;GP;M;18;R;GT3;T;4;3;teacher;services;course;mother;1.0;3.0;0.0;no;no;no;no;yes;yes;yes;yes;5.0;3.0;2.0;1.0;2.0;4.0;4.0;15.0;14.0;17.0;both
MS;F;17;R;GT3;T;4;4;teacher;services;other;father;2.0;2.0;0.0;no;yes;yes;yes;yes;yes;yes;no;4.0;3.0;3.0;1.0;2.0;5.0;4.0;12.0;13.0;13.0;MSF17RGT3T44teacherservicesotheryesyes;MS;F;17;R;GT3;T;4;4;teacher;services;other;father;2.0;2.0;0.0;no;yes;yes;yes;yes;yes;yes;no;4.0;3.0;3.0;1.0;2.0;5.0;2.0;12.0;12.0;12.0;both
MS;M;18;U;LE3;T;4;4;teacher;services;other;mother;2.0;3.0;0.0;no;no;yes;no;yes;yes;yes;yes;4.0;2.0;2.0;2.0;2.0;5.0;0.0;13.0;13.0;13.0;MSM18ULE3T44teacherservicesotheryesyes;MS;M;18;U;LE3;T;4;4;teacher;services;other;mother;2.0;3.0;0.0;no;no;no;no;yes;yes;yes;yes;4.0;2.0;2.0;2.0;2.0;5.0;0.0;15.0;16.0;16.0;both
MS;M;18;U;GT3;T;4;4;teacher;teacher;home;father;1.0;2.0;0.0;no;no;yes;yes;no;yes;yes;no;3.0;2.0;4.0;1.0;4.0;2.0;4.0;15.0;14.0;14.0;MSM18UGT3T44teacherteacherhomenoyes;MS;M;18;U;GT3;T;4;4;teacher;teacher;home;father;1.0;2.0;0.0;no;no;no;yes;no;yes;yes;no;3.0;2.0;4.0;1.0;4.0;2.0;4.0;17.0;18.0;19.0;both
